SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Males,Slovenia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3270
Males,Slovenia,Financial and insurance activities,2018,Euro,3201
Males,Slovenia,Financial and insurance activities,2018,Purchasing power standard (PPS),3672
Males,Slovenia,Real estate activities,2018,Euro,2449
Males,Slovenia,Real estate activities,2018,Purchasing power standard (PPS),2809
Males,Slovenia,Professional scientific and technical activities,2018,Euro,2898
Males,Slovenia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3324
Males,Slovenia,Administrative and support service activities,2018,Euro,2011
Males,Slovenia,Administrative and support service activities,2018,Purchasing power standard (PPS),2307
Males,Slovenia,Public administration and defence; compulsory social security,2018,Euro,2498
Males,Slovenia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2865
Males,Slovenia,Education,2018,Euro,2384
Males,Slovenia,Education,2018,Purchasing power standard (PPS),2735
Males,Slovenia,Human health and social work activities,2018,Euro,3131
Males,Slovenia,Human health and social work activities,2018,Purchasing power standard (PPS),3591
Males,Slovenia,Arts entertainment and recreation,2018,Euro,2346
Males,Slovenia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2690
Males,Slovenia,Other service activities,2018,Euro,2311
Males,Slovenia,Other service activities,2018,Purchasing power standard (PPS),2650
Males,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1863
Males,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2337
Males,Slovakia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1906
Males,Slovakia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2392
Males,Slovakia,Business economy,2018,Euro,2030
Males,Slovakia,Business economy,2018,Purchasing power standard (PPS),2548
Males,Slovakia,Industry and construction,2018,Euro,1910
Males,Slovakia,Industry and construction,2018,Purchasing power standard (PPS),2396
Males,Slovakia,Industry (except construction),2018,Euro,1967
Males,Slovakia,Industry (except construction),2018,Purchasing power standard (PPS),2468
Males,Slovakia,Mining and quarrying,2018,Euro,1794
Males,Slovakia,Mining and quarrying,2018,Purchasing power standard (PPS),2252
Males,Slovakia,Manufacturing,2018,Euro,1947
Males,Slovakia,Manufacturing,2018,Purchasing power standard (PPS),2443
Males,Slovakia,Electricity gas steam and air conditioning supply,2018,Euro,2297
Males,Slovakia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2882
Males,Slovakia,Water supply; sewerage waste management and remediation activities,2018,Euro,1780
Males,Slovakia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2233
Males,Slovakia,Construction,2018,Euro,1623
Males,Slovakia,Construction,2018,Purchasing power standard (PPS),2037
Males,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1845
Males,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2316
Males,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1905
Males,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2390
Males,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2115
Males,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2654
Males,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,2059
Males,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2584
Males,Slovakia,Transportation and storage,2018,Euro,1777
Males,Slovakia,Transportation and storage,2018,Purchasing power standard (PPS),2230
Males,Slovakia,Accommodation and food service activities,2018,Euro,1419
Males,Slovakia,Accommodation and food service activities,2018,Purchasing power standard (PPS),1781
Males,Slovakia,Information and communication,2018,Euro,2357
Males,Slovakia,Information and communication,2018,Purchasing power standard (PPS),2958
Males,Slovakia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2108
Males,Slovakia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2645
Males,Slovakia,Financial and insurance activities,2018,Euro,2636
Males,Slovakia,Financial and insurance activities,2018,Purchasing power standard (PPS),3308
Males,Slovakia,Real estate activities,2018,Euro,1897
Males,Slovakia,Real estate activities,2018,Purchasing power standard (PPS),2381
Males,Slovakia,Professional scientific and technical activities,2018,Euro,2084
Males,Slovakia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2615
Males,Slovakia,Administrative and support service activities,2018,Euro,1522
Males,Slovakia,Administrative and support service activities,2018,Purchasing power standard (PPS),1910
Males,Slovakia,Public administration and defence; compulsory social security,2018,Euro,1569
Males,Slovakia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),1969
Males,Slovakia,Education,2018,Euro,1259
Males,Slovakia,Education,2018,Purchasing power standard (PPS),1580
Males,Slovakia,Human health and social work activities,2018,Euro,2259
Males,Slovakia,Human health and social work activities,2018,Purchasing power standard (PPS),2834
Males,Slovakia,Arts entertainment and recreation,2018,Euro,1531
Males,Slovakia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1921
Males,Slovakia,Other service activities,2018,Euro,792
Males,Slovakia,Other service activities,2018,Purchasing power standard (PPS),994
Males,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4544
Males,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3608
Males,Finland,Industry construction and services (except public administration defense compulsory social security),2018,Euro,4545
Males,Finland,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3608
Males,Finland,Business economy,2018,Euro,4647
Males,Finland,Business economy,2018,Purchasing power standard (PPS),3689
