SEX,GEO,SIZECLAS,Value
Females,Germany (until 1990 former territory of the FRG),Arts entertainment and recreation,2463
Females,Germany (until 1990 former territory of the FRG),Other service activities,2909
Females,Estonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1235
Females,Estonia,Industry construction and services (except public administration defense compulsory social security),1212
Females,Estonia,Business economy,1191
Females,Estonia,Industry and construction,1121
Females,Estonia,Industry (except construction),1114
Females,Estonia,Mining and quarrying,1225
Females,Estonia,Manufacturing,1093
Females,Estonia,Electricity gas steam and air conditioning supply,1551
Females,Estonia,Water supply; sewerage waste management and remediation activities,1259
Females,Estonia,Construction,1244
Females,Estonia,Services (except activities of households as employers and extra-territorial organisations and bodies),1261
Females,Estonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1235
Females,Estonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1153
Females,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1052
Females,Estonia,Transportation and storage,1295
Females,Estonia,Accommodation and food service activities,968
Females,Estonia,Information and communication,1832
Females,Estonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1417
Females,Estonia,Financial and insurance activities,1836
Females,Estonia,Real estate activities,1155
Females,Estonia,Professional scientific and technical activities,1701
Females,Estonia,Administrative and support service activities,1056
Females,Estonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1293
Females,Estonia,Public administration and defence; compulsory social security1502
Females,Estonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1246
Females,Estonia,Education,1180
Females,Estonia,Human health and social work activities,1398
Females,Estonia,Arts entertainment and recreation,1055
Females,Estonia,Other service activities,1103
