"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","5 062"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","4 383"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","5 215"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","4 516"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4 623"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","4 002"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4 611"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 993"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","4 621"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 001"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","4 577"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","3 963"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","4 762"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","4 123"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","2 850"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 468"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","4 893"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 237"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","4 737"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","4 102"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","6 418"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","5 557"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","5 159"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","4 466"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","5 239"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","4 536"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","3 193"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 764"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4 526"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 919"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","4 696"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","4 066"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4 443"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 847"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","4 367"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","3 781"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","4 609"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","3 991"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","3 896"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","3 374"
